complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_c9c935ff1cfb4dd2,"다우하임아파트",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010500101330000"]
cx_c9ca55e9fe649eb4,"백광",서대문구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1141011700100690000"]
cx_c9cd389f4fcd218f,"파크빌",서대문구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1141011700107120000"]
cx_c9d24424697f3ef3,"한강맨숀",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117012900103000000"]
cx_c9dccec73f6c66b5,"대원리버빌",광진구,SINGLE_PARCEL,PNU_NOT_FOUND,["1121510500105870000"]
cx_c9e22da4a6a9f9a0,"한건브리앙",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010100100880000"]
cx_ca051b49aa3e55c5,"메종드로제",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300109260000"]
cx_ca07ae72741ecbc4,"하이캐슬",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010600109860000"]
cx_ca10c3d0991a6178,"삼성한사랑1",강서구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1150010200106320000"]
cx_ca1ed97d884d74e7,"엘리제빌",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010700100990000"]
cx_ca2309b5cd198be7,"더클래스",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800116190000"]
cx_ca2e7fa546d10472,"파라다이스(477-7)",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100104770000"]
cx_ca37c1ad8a3c5909,"베로니스6차",서초구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1165010700105510000"]
cx_ca3c45c00356358e,"미래드림캐슬",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010200107130000"]
cx_ca43b35904d90b98,"호성그린아트빌",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300100800000"]
cx_ca492f3b83cca27c,"현대빌라트",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010300106020000"]
cx_ca54357e10f62fce,"청우",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010300111580000"]
cx_ca5d53206cc69623,"현대휴앤미(102동)",중랑구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1126010300100110000"]
cx_ca604ce2a8f9895a,"성진위드빌",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010600103820000"]
cx_ca677bc29f3478b0,"(749-30)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107490000"]
cx_ca858ae875b5f637,"광남벨라스(1차)",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144012000104650000"]
cx_ca9b9466eb6c8470,"예미원",마포구,SINGLE_PARCEL,PNU_NOT_FOUND,["1144010100103710000"]
cx_caaeebde589195cb,"극동",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010100102460000"]
cx_cae2163045d5ed08,"새롬",서대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1141010200100030000"]
cx_caf40870c01a49ab,"현대쉐르빌",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010100111960000"]
cx_cafb959f10c8aecb,"원산",도봉구,SINGLE_PARCEL,PNU_NOT_FOUND,["1132010500101380000"]
cx_cb1351113bf09516,"대양코리아나타워",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171011100101820000"]
cx_cb230fd48e895601,"현대휴앤미",중랑구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1126010300100110000"]
