complex_id,pnu,sido_code
cx_0643d2d188d1c661,1211015800110020000,12
cx_0648143221f9e284,4311410200104450001,43
cx_065394c286c90030,1215011400113840003,12
cx_065b3c03a3555593,3114010200101910058,31
cx_0660d2d3c7b52c41,4311311700100450001,43
cx_066170df53f6cbf0,3114010100102750001,31
cx_0663c7918abb5578,4827010800104550000,48
cx_0676f313a90f403a,4471025024103120000,44
cx_067c520ef518fcea,4812710500100840014,48
cx_068959420c15c56a,5211113300108430001,52
cx_0691c222caefe020,3611025024100120000,36
cx_0691e39114a838ee,3014011500100100001,30
cx_06967f9f94328468,4711312000111030003,47
cx_069ac4a8bcf8bc26,4420041028104760006,44
cx_069ad9ff8c75584f,4882025024105670000,48
cx_06a008c68074e1e3,4311325025105490000,43
cx_06b12eb150722e7b,3611011800108830011,36
cx_06b6a8bdfbd88745,2820010300111150001,28
cx_06b6f66e70fee1cd,4413110900102190004,44
cx_06cd66d8da049ec3,5214012200108000000,52
cx_06dcc6759a66ee9b,1280025326116650002,12
cx_06ded4afb1c7804a,4827010200101580000,48
cx_06e16463c109ada9,4413310200114750000,44
cx_06e31a0db91bf08d,5113011000111840000,51
cx_06e4ced6cd723f67,4817012000102990002,48
cx_06f84f8a21b7398d,4723010200101290000,47
cx_0706e10e6a34a8a0,1219025030108930000,12
cx_070bc931b5da2528,4413111400104400010,44
cx_0712616212618b2b,4413110700104290133,44
cx_072052b84e54e306,3120012600112360004,31
cx_07229353dcef1280,3020011100110360000,30
cx_0724467393a7f3b6,1217013400101180000,12
cx_0725848857813598,2623011100100540004,26
cx_07364a73d3bfaec7,4413111600109350000,44
cx_073d4ebc57f2533b,2823710300101550001,28
cx_0743ccd028978bc8,1215011500108070007,12
cx_0759abb723be69a2,3014010200101520001,30
cx_0761c70b7229dc91,2823710600101710000,28
cx_0770ae72cd99ede3,4833025321108960001,48
cx_07733d0edac8a38f,2824510200108990000,28
cx_07767805bbece0ae,1230010900100690000,12
cx_077c1e4da0691432,2820010200109400000,28
cx_079598a35bbbd389,4717011000109740001,47
cx_0795f0a8ed060169,2820010200109340000,28
cx_07a94ff162af2906,1233011700108840002,12
cx_07ac4bbaa185d193,4817031021111040000,48
cx_07acd48f08e7b1cd,4715011000112960000,47
cx_07ada95ad362922d,1271025025101910000,12
cx_07bd660d084d4eca,2829010700107220002,28
cx_07ce3cde2a1454ab,2820010100115510000,28
cx_07ce4052af48b04a,1230012900111090000,12
cx_07d5bda70862bcb9,4423025324110190000,44
cx_07d95c0b8155f8d1,4413310200112900000,44
cx_07e0ee6afd629787,4729025324100810004,47
cx_07e7a8f1f0813e6c,5113011200101280001,51
cx_07f782f054225927,2820010300109050000,28
cx_07fcb004407cd90a,3611010600109390000,36
cx_08003273178c79db,4833011900100830002,48
cx_08020456863d3d9c,1227010600113010000,12
cx_080b08cf247c8665,5111011900108090000,51
cx_080d8efd90593fd4,4825025027110120000,48
cx_08272be1fa823253,2623010900105730089,26
cx_0842184ba00b0279,5219011700106420000,52
cx_0849a79a54d8d108,4717012800102850000,47
cx_0849ec1c77bfa6da,5214013400102310004,52
cx_084bcc118999884e,4817012000100750003,48
cx_0850b3a291f77a6d,4723010500100490001,47
cx_085deabb1c212abc,3114010500108090001,31
cx_08774097e0c01d70,4420033025113850000,44
cx_0878db24c30cb80a,3611011200102350000,36
cx_088b2f812b32c9f3,4889025023105350009,48
cx_088c10c8cd4e9a0b,4812725025110540000,48
cx_088e2c0d81138afe,3020012100107120000,30
cx_0892ebd462a9a8a9,2820011000107510001,28
cx_089c2c46bdbb2a13,4827010400106980000,48
cx_089f4c5cd09ca582,4812112900100760000,48
cx_08ad45e69789276d,4715011400104160007,47
cx_08b5de8a0f81d2ac,4413111100109800000,44
cx_08bbafd2ffeb6bf8,3611010200133020001,36
cx_08c078a08163bd2f,4825012500108010003,48
cx_08c7c646a4674702,2815510300127850011,28
cx_08ce469a3483e6fd,5173033022105900004,51
cx_08d89be388856014,4812710500100260003,48
cx_08dad2cac910dc81,4480025625113700000,44
cx_08dfad42ae1cfe8c,1215012600109540000,12
cx_08e0542959b593ce,4476031034108390000,44
cx_08e5fba232bdbcb7,4711311900106110000,47
cx_08f3df7bf231d8c4,5271025324108730001,52
cx_0905337c45131414,5214013400112050000,52
cx_09086aa05f684094,4313012500110880000,43
cx_091e791a3ccbbf59,5115036025100600000,51
cx_093f525bd140b498,3611011400102350009,36
cx_094e37c54a4c2064,4729010900107250002,47
cx_095012a371e0668d,4827025321104200034,48
cx_096f8ac4944253ac,4377025321100930000,43
cx_098de48ac816a6d5,2829010500110140000,28
cx_0993b44c64004641,5219011700106420000,52
cx_0996754c19576695,1211016400109940001,12
cx_099e9b5d1c779d8c,5013010500101190000,50
cx_09a599b7f5097397,1230012900110090000,12
cx_09a81c65655c6ee7,5111012400101140005,51
cx_09a895f5d673345e,2827510800104910003,28
cx_09b2ce664c6d99b1,5214011300103520006,52
cx_09b661f9410bcea5,2823710200102060000,28
cx_09b7ec654aaae171,4413111600107830008,44
cx_09bbc54a5019038a,1215013300108510000,12
cx_09c743c4fa6526f1,5219012100102200001,52
cx_09cead448f417cf0,1233011300106280001,12
cx_09d8c2ea26c96437,4812725026100670000,48
cx_09d932544479beea,5214012200107710002,52
cx_09dca16aa9c7f651,3111010300103200000,31
cx_09e325d1dc5c1ad4,2823710300102610008,28
cx_09eb5b0ae042a5b8,1279025036100810002,12
cx_09fbf468e2aaf9db,4413325622104280003,44
cx_0a0d895fdb044843,3120010500102500001,31
cx_0a0f7c93f9a25ad2,5113011200112660000,51
cx_0a18e46b528db618,2829010300110530000,28
cx_0a2ae79ebacb0249,2817710200105720003,28
cx_0a458682fa7cc9da,2818510100106420001,28
cx_0a47e0b62b970013,4825010700114390005,48
cx_0a4a9ad77777c51b,2829010500110180000,28
cx_0a51670fa850c140,2820010400108060003,28
cx_0a519cfb5f1bb4c9,3014011600107790000,30
cx_0a5effc6b72e3e38,3114010200114180000,31
cx_0a61dc12167e22a0,4827010400104670000,48
cx_0a65534e92bf0583,4375037027103830004,43
cx_0a67749f06b22834,4812313100100120000,48
cx_0a67b8e52fae8eaa,3611010800122020009,36
cx_0a67ea33a204eadd,5214011400105250002,52
cx_0a6a8e8ef3de1931,4719025336109110114,47
cx_0a74c8811f5d5a71,5211112800105450001,52
cx_0a765c98d3876d08,4480039032100050010,44
cx_0a7c4f0d1ccc3582,2829010500108540003,28
cx_0a87ce19de50a68e,2820011000107730001,28
cx_0aa77871794e4d75,3171025927108560000,31
cx_0aa8a72cf630cc53,3611010200133020006,36
cx_0ab3a70488aa6c47,4719010100111340000,47
cx_0acd360c03796d37,1213010200101670001,12
cx_0adcb090d8d213aa,4711111400105790000,47
cx_0aded5aa2c78ce69,3020014100104600001,30
cx_0ae2638dccc181c3,1284025024116610000,12
cx_0ae5d64ff1067429,5113011700120490008,51
cx_0aeac5b831210ea0,4420025324102820005,44
cx_0aef4054842f65fc,3611025032105420000,36
cx_0af73acc20738c61,3611033021104980007,36
cx_0b01a829fc631958,5221010900103990000,52
